Timestamp,How fast does human hair grow (cm/yr)?,"If every living person stood crammed together side-by-side, how large of an area would they occupy (km²)?","How many days would it take to walk from San Diego to New York City (assuming no stopping to fix shoes, apply sunscreen, or for sleeping, eating, or other biological needs)?"
10/6/2021 10:52:56,15,1750,400
10/6/2021 10:54:47,50,30000,100
10/6/2021 10:58:30,10,100000,50
10/6/2021 11:01:56,16.06 cm,3219 km^2,29 days
10/6/2021 11:03:36,10,10000000,100
10/6/2021 11:15:19,6cm/yr,"10,000,000km2",200 days
10/6/2021 11:49:35,5 cm/yr,100,50
10/6/2021 11:59:01,24,1500000,40
10/6/2021 14:42:36,10,10^14,30
10/6/2021 16:36:49,30,"700,000,000",21
10/6/2021 17:00:29,10cm ,"16,000,000",45 days 
10/6/2021 18:25:33,10,1*10^3,200
10/7/2021 11:20:15,10,1000000,100
10/8/2021 15:27:23,15,5.7,38
1/12/2022 20:11:14,18,5000,62
1/14/2022 14:36:55,12,100000,60
1/14/2022 14:36:55,9,100,90
1/14/2022 14:37:00,15,10000,35
1/14/2022 14:37:01,100,400,1 year
1/14/2022 14:37:10,10cm/yr,100km^2,1 month 
1/14/2022 14:37:11,5,100,40
1/14/2022 14:37:15,5cm,10000000km^2,2 months
1/14/2022 14:37:15,50,10000,500
1/14/2022 14:37:17,100,1000,10
1/14/2022 14:37:18,20,20,20
1/14/2022 14:37:18,20,1000000,300
1/14/2022 14:37:27,100,5000,150
1/14/2022 14:37:35,60,15,65
1/14/2022 14:37:36,1000cm/yr,"1,000,000,000,000,000",120
1/14/2022 14:37:38,30,3000000,6 months
1/14/2022 14:37:39,30,900000000,30
1/14/2022 14:37:40,36,700000000,80
1/14/2022 14:37:43,10cm/yr,uh oh ,1200
1/14/2022 14:37:44,40cm,Maybe as big as the US,"25,000 hours "
1/14/2022 14:37:44,100,10000,100
1/14/2022 14:37:45,20,250000,720
1/14/2022 14:37:51,10,777777,38
1/14/2022 14:37:58,10 cm/yr,700,75
1/14/2022 14:37:59,50,40000000,20
