,new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
0,001_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8.0,None of these,Java,none of the above,4.0,7.0
1,002_fa21,1,"A functioning laptop or tablet, Access to YouTube",8.0,Communicate results concisely and effectively in reports and presentations,Python,Python,6.0,4.0
2,003_fa21,1,,,,,,,
3,004_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, p-hacking, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",7.0,10.0
4,005_fa21,1,,,,,,,
5,006_fa21,1,,,,,,,
6,007_fa21,1,,,,,,,
7,008_fa21,1,,,,,,,
8,009_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",3.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations","Python, R","data science, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",7.0,4.0
9,010_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,None of these,Java,GitHub,4.0,9.0
10,011_fa21,1,,,,,,,
11,012_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, pandas (the package, not the animal), sklearn, A|B testing",9.0,10.0
12,013_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB","GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",4.0,8.0
13,014_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,None of these,"Python, Java","GitHub, Python",3.0,8.0
14,015_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,Communicate results concisely and effectively in reports and presentations,"Python, None of these (I'm not comfortable programming)","GitHub, Python, Jupyter Notebooks",1.0,5.0
15,016_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",9.0,10.0
16,017_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn, A|B testing",8.0,10.0
17,018_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Java, MATLAB",none of the above,7.0,6.0
